"","�..V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","opp","rid","RISN","Q_TotalDuration","isNew","viga","eid","V","uig","cintid","ProjectToken","Field","gc","term","LS","Q35","MascotSupport_1","MascotSupport_2","MascotSupport_3","MascotSupport_4","MascotSupport_5","MascotSupport2_1","MascotSupport2_2","MascotSupport2_3","MascotSupport2_4","MascotSupport2_5","MascotSupport2_6","MascotSupport2_7","MascotSupport2_8","MascotSupport2_9","MascotSupport2_10","Invis1_1","Invis1_2","Invis1_3","Invis2_1","Invis2_2","Invis2_3","Invis2_4","Invis2_5","Invis3_1","Invis3_2","Invis3_3","Invis3_4","Invis3_5","Invis3_6","Invis3_7","Invis3_8","Invis3_9","Invis4_1","Invis4_2","Invis4_3","Invis4_4","Invis4_5","Invis4_6","Invis4_7","Invis5_1","Invis5_2","Invis5_3","Invis5_4","Invis5_5","Invis5_6","Invis5_7","Invis5_8","Invis5_9","Invis5_10","Invis5_11","Invis5_12","Invis5_13","Invis6_1","Invis6_2","Invis6_3","Invis6_4","Invis6_5","Invis6_6","Invis6_7","Invis6_8","Invis6_9","Invis6_10","Identity1_1","Identity1_2","Identity1_3","Identity1_4","Identity1_5","Identity1_6","Identity1_7","Identity2_1","Identity2_2","Identity2_3","Identity2_4","Identity3_1","Identity3_2","Identity3_3","Identity3_4","Identity4_1","Identity4_2","Identity4_3","Identity4_4","Identity5_1","Identity5_2","Identity6_1","Identity6_2","Identity6_3","Identity6_4","Identity7_1","Identity7_2","Identity7_3","Identity7_4","Identity7_5","Identity7_6","Identity7_7","Identity8_1","Identity8_2","Identity8_3","Identity8_4","Identity8_5","Identity8_6","Identity8_7","Identity9_1","Identity9_2","Identity9_3","Identity9_4","Identity9_5","Identity9_6","Identity9_7","Identity9_8","Identity9_9","Identity9_10","Identity9_11","Identity9_12","Identity9_13","Identity9_14","Identity9_15","Identity9_16","Identity9_17","Q29","Q29_TEXT","Q30","Q37","Q31","Q32","Q33","Q34","Q41_1","Q41_2","Q41_3","Q41_4","Q41_5","Q41_6","Q41_7","Q41_7_TEXT","Q26","Tribe","X","ValidResponse","Q28","Q42","Q24","Q25","Q18","Q19","Q20","Q21","Q27","Q40","Q22","Q23","Q38","Q36","LocationLatitude","LocationLongitude","LocationAccuracy","FilterOut","filter_."
"773","R_29oeM49KdLSz8F9","Default Response Set","Anonymous",NA,NA,"98.212.123.170",0,"10/25/2019 16:59","10/25/2019 17:05",1,"Qual2790-0826NativeAmerican2","5db37c04-132f-e7db-dca5-9e02a37b3be6",NA,369,FALSE," "," "," "," "," ",NA,2,1," ","{Invalid Expression}",4,6,4,4,2,2,4,5,1,3,2,3,3,6,1,5,1,3,5,2,4,7,1,3,5,6,3,2,3,1,3,7,3,6,7,2,3,7,7,1,6,5,2,7,5,4,7,1,3,7,6,3,2,2,3,2,5,3,1,6,3,7,4,6,3,6,5,7,4,2,4,3,7,1,3,4,5,5,4,3,3,6,6,2,5,7,5,3,5,6,7,5,2,2,5,7,6,3,4,2,3,5,1,6,5,4,4,3,2,4,7,4,3,4,7,6,2,3,2,2,NA,17,"60181",5,2,2,6,NA,NA,NA,NA,NA,1,NA," ","Trib",NA,NA,0,1,1,2,1,1,1,2,2,1,NA,2,2,"No",1,41.87989807,-87.97820282,-1,0,1
"444","R_1f2z3E8repM16a4","Default Response Set","Anonymous",NA,NA,"71.203.101.248",0,"10/14/2019 20:22","10/14/2019 20:30",1,"Qual2790-0826NativeAmerican2","5da52a05-381d-129c-e4fc-6ae7b469b413",NA,473,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,6,7,4,5,7,7,7,1,7,7,1,1,1,1,7,2,2,2,5,3,6,5,2,1,1,2,2,1,2,4,2,1,1,2,5,2,5,1,3,2,1,2,1,1,1,1,1,1,2,2,2,2,5,6,2,6,5,4,3,3,5,2,7,7,7,7,7,5,7,6,7,7,7,1,7,1,7,7,7,6,1,7,1,7,7,7,7,1,1,7,1,1,1,2,5,4,2,4,2,5,6,5,7,6,6,6,5,5,6,5,4,4,6,6,4,5,5,6,1,NA,14,"32309",6,1,1,5,NA,NA,NA,NA,NA,1,NA," ","seminole","Seminole",NA,NA,1,1,5,1,1,1,2,1,1,NA,2,2," ",1,30.46510315,-84.1128006,-1,0,1
"581","R_86RIPI6W94mLIRP","Default Response Set","Anonymous",NA,NA,"75.175.87.216",0,"9/25/2019 14:35","9/25/2019 14:55",1,"Qual2790-0826NativeAmerican2","5d8bcf64-4758-12af-d5a8-06c669ea6a72",NA,1163,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,1,2,4,2,7,6,6,1,4,4,2,1,2,2,5,1,1,1,6,5,5,7,1,3,4,5,7,5,5,4,1,4,3,3,6,2,3,5,2,3,3,1,5,7,5,4,2,5,1,7,6,7,1,6,1,2,2,1,4,3,2,2,7,7,5,4,6,7,6,7,7,1,1,1,7,1,7,7,1,6,1,7,1,2,6,6,6,1,1,3,1,1,2,2,5,4,1,4,1,1,6,3,4,6,5,6,6,4,5,1,6,4,2,4,4,5,5,5,2,NA,33,"36580",4,4,3,4,NA,NA,1,NA,NA,1,NA," ","Cherokee and Choctaw","Cherokee & Choctaw",NA,NA,1,1,5,1,1,1,4,2,1,NA,3,3,"I don't believe we are singled out for harsh treatment these days but I also don't believe Native American history is remembered as it should be. I also believe that more should be taught about our history in main stream schooling settings, and it should be taught by our people. Thank you",1,30.40260315,-87.6882019,-1,0,1
"642","R_1dtoPwEul2iFQ8Y","Default Response Set","Anonymous",NA,NA,"76.5.120.157",0,"9/21/2019 18:39","9/21/2019 18:49",1,"Qual2790-0826NativeAmerican2","5d86c2b0-100c-9f5a-3bd5-1360ef85b652",NA,558,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,3,4,6,4,1,3,7,7,4,7,7,7,4,7,7,5,7,7,1,6,1,4,7,4,7,7,7,7,7,5,7,7,7,7,5,7,7,1,7,7,6,7,6,7,5,6,2,7,7,7,2,2,3,6,7,7,7,7,7,7,7,7,7,7,7,7,3,7,5,3,7,7,1,6,4,2,7,7,7,7,7,7,3,7,7,7,7,7,3,7,1,4,7,7,4,4,4,6,4,1,NA,50,"16050",6,2,2,1,NA,NA,NA,NA,NA,NA,1," ","Cherokee black foot","Cherokee & Blackfoot",NA,NA,0,0,5,1,1,2,4,1,1,NA,4,2,"Irish",1,40.17779541,-77.23280334,-1,0,1
"692","R_WxJMvMq4fN6phVn","Default Response Set","Anonymous",NA,NA,"75.142.121.148",0,"9/25/2019 14:12","9/25/2019 14:21",1,"Qual2790-0826NativeAmerican2","5d8bca3f-9d9b-4da4-5076-8e3ff494a788",NA,501,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,6,6,6,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,1,7,1,7,1,7,6,6,6,6,7,1,7,7,7,7,1,1,7,1,1,4,1,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,NA,25,"90210",6,1,7,7,NA,NA,NA,NA,NA,1,NA," ","Cherokee","Cherokee",NA,NA,1,1,5,1,1,1,2,2,1,NA,2,2,"N/A",1,33.76269531,-118.1376038,-1,0,1
"1000","R_1ewL7VVYrxlpcqv","Default Response Set","Anonymous",NA,NA,"73.200.147.192",0,"10/15/2019 6:09","10/15/2019 6:37",1,"Qual2790-0826NativeAmerican2"," ",NA,1712,TRUE," "," "," "," ","26a68f25-c8f0-4ab2-9fa2-b98dd5064aed",NA,NA,1," ","{Invalid Expression}",4,6,6,6,6,6,2,6,6,2,2,6,6,6,6,6,6,6,6,4,4,4,4,4,6,6,6,6,2,6,6,6,6,2,6,6,6,6,6,6,6,6,NA,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,2,6,4,6,6,6,4,4,6,4,6,6,4,2,6,2,6,4,4,4,6,6,4,6,6,6,6,4,2,4,6,4,4,4,2,6,4,6,4,6,4,3,3,4,4,4,4,3,4,1,4,4,4,4,4,4,1,3,2,NA,45,"22026",2,3,7,4,NA,NA,NA,NA,NA,1,NA," ","Black foot","Blackfoot",NA,NA,1,1,4,1,1,2,3,2,1,NA,3,2,"None",1,38.64379883,-77.3451004,-1,0,1
"343","R_1qWMf6jkMulJXs0","Default Response Set","Anonymous",NA,NA,"73.236.86.50",0,"9/19/2019 16:57","9/19/2019 17:13",1,"Qual2790-0826NativeAmerican2","5d84069f-6681-368f-623c-cdce637acb47",NA,955,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,7,7,1,7,7,1,1,7,1,7,7,7,7,7,7,6,6,6,1,6,5,6,4,7,7,7,7,7,7,7,5,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,1,7,1,7,1,7,1,7,2,7,2,7,7,1,7,7,7,7,1,1,1,1,1,7,1,5,7,7,7,7,7,7,6,6,6,7,5,7,7,6,1,6,1,7,7,4,6,1,4,2,NA,53,"15656",2,3,5,4,NA,NA,NA,NA,NA,1,NA," ","Mohawk","Mohawk",NA,NA,1,1,5,1,1,1,1,1,1,NA,4,3," ",1,40.63439941,-79.62010193,-1,0,1
"867","R_2BhbdlkVD9BWUZi","Default Response Set","Anonymous",NA,NA,"174.235.144.17",0,"9/25/2019 19:02","9/25/2019 19:22",1,"Qual2790-0826NativeAmerican2","5d8c0e13-7294-36c4-75cb-2e819ec661c2",NA,1181,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,6,7,1,7,7,1,1,7,1,1,7,7,7,7,7,7,7,7,2,6,6,6,2,4,6,6,7,7,7,7,4,4,1,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,1,7,1,7,1,7,6,5,4,6,7,1,7,7,7,7,1,1,1,1,1,1,1,4,4,1,6,1,6,2,7,7,7,7,7,7,7,4,4,7,7,7,5,7,7,5,7,2,NA,5,"36619",3,3,6,4,NA,1,NA,NA,NA,1,NA," ","Navajo","Navajo",NA,NA,0,0,6,1,1,1,3,1,1,NA,2,2,"No",1,29.94949341,-90.12039948,-1,0,1
"924","R_3EbDS305LQDI00R","Default Response Set","Anonymous",NA,NA,"173.23.196.134",0,"9/25/2019 18:40","9/25/2019 19:02",1,"Qual2790-0826NativeAmerican2","5d8c08ec-4985-a54b-eac6-1018d2b5d917",NA,1320,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,7,7,2,2,7,7,7,7,7,2,7,6,3,7,7,1,1,1,7,7,1,7,7,7,7,1,1,1,1,1,1,1,7,7,6,6,7,6,7,7,7,7,1,7,7,1,7,7,1,7,1,7,6,6,1,7,7,7,6,7,7,6,7,6,7,7,2,7,7,7,6,7,7,1,7,1,7,7,7,6,6,7,1,7,7,7,7,7,7,7,1,1,7,6,2,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,NA,50,"50158",4,3,1,7,NA,NA,NA,NA,NA,1,NA," ","Cherokee","Cherokee",NA,NA,1,1,6,1,1,1,2,2,1,NA,2,2,"No not at this time",1,42.04049683,-92.91269684,-1,0,1
"70","R_2CBQgiLU0Ir0mwo","Default Response Set","Anonymous",NA,NA,"96.43.251.247",0,"9/19/2019 17:38","9/19/2019 18:09",1,"Qual2790-0826NativeAmerican2","5d84114f-f28c-e9da-b595-27dbc794070a",NA,1827,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,3,4,4,3,7,4,1,4,1,1,7,7,4,7,7,5,5,6,4,4,3,4,4,4,4,4,3,6,4,4,4,4,1,6,4,4,4,4,4,5,4,4,4,3,5,4,4,5,3,6,5,4,4,4,4,7,5,4,5,4,5,5,4,5,4,4,3,4,4,4,4,4,4,1,6,4,5,5,4,3,4,5,3,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,55,"82930",2,4,5,1,NA,NA,1,NA,NA,NA,NA," ","cherakee","Cherokee",NA,NA,0,0,2,0,1,1,3,2,0,0,3,3," ",1,41.26089478,-110.9630966,-1,0,1
"370","R_O20X3ZkDGG5ay4x","Default Response Set","Anonymous",NA,NA,"67.182.195.85",0,"9/25/2019 13:03","9/25/2019 13:22",1,"Qual2790-0826NativeAmerican2","5d8bb9e2-c562-5b7e-f36a-c2ded8078488",NA,1108,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,6,4,4,4,6,2,3,6,4,6,2,5,3,7,2,2,6,6,6,3,5,4,5,4,4,4,7,7,7,7,5,7,1,4,7,5,4,7,5,4,7,6,6,6,6,6,6,6,2,7,6,7,6,6,4,6,6,6,5,4,3,4,6,6,6,6,6,5,6,6,4,4,4,1,7,1,7,6,4,6,4,6,2,5,5,5,5,3,2,6,2,2,2,2,4,5,4,6,2,2,6,7,5,7,5,4,6,6,6,6,6,2,6,4,5,6,4,7,2,NA,9,"84010",2,3,1,4,NA,NA,NA,NA,NA,1,NA," ","Navajo","Navajo",NA,NA,1,1,5,1,1,2,2,2,0,0,2,2," ",1,40.69819641,-111.8410034,-1,0,1
"593","R_12JWfGG1EVTytgz","Default Response Set","Anonymous",NA,NA,"107.77.169.7",0,"10/14/2019 19:41","10/14/2019 20:02",1,"Qual2790-0826NativeAmerican2","5da523c3-2fe9-0787-c7c2-87cf16fd582a",NA,1240,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,5,1,2,1,7,3,1,4,3,3,6,5,7,7,6,7,7,7,3,1,2,1,5,4,6,4,6,6,6,7,4,5,2,7,4,5,5,6,7,6,5,1,4,6,5,5,2,6,2,7,7,7,4,3,6,6,6,7,7,7,7,5,5,6,3,4,4,5,4,6,7,3,5,1,7,2,7,3,5,3,4,7,1,2,6,7,7,1,1,3,2,1,2,3,2,3,2,6,1,2,1,5,5,4,5,6,4,7,7,3,7,3,5,6,3,6,4,1,2,NA,19,"78244",4,4,1,6,NA,1,NA,NA,NA,1,NA," ","Apache","Apache",NA,NA,1,1,3,0,1,2,2,3,0,1,3,3,"I have no further comments",1,29.85339355,-95.4434967,-1,0,1
"81","R_3RlxoozvJmW64sg","Default Response Set","Anonymous",NA,NA,"24.158.87.63",0,"9/25/2019 13:50","9/25/2019 13:55",1,"Qual2790-0826NativeAmerican2","5d8bc4b8-1486-7273-4466-bed49a0e1e6f",NA,322,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,6,6,6,7,7,6,7,7,7,7,7,7,6,7,7,5,7,5,6,6,7,6,5,7,6,6,6,5,6,7,6,7,6,5,6,6,5,7,5,6,6,6,6,6,5,7,5,7,6,7,6,6,7,7,6,7,6,7,6,6,6,7,7,6,7,7,6,7,7,5,7,7,7,2,5,2,6,7,3,6,5,7,3,6,6,6,7,6,6,6,6,7,7,6,7,6,5,6,3,3,6,6,5,5,6,6,6,5,7,5,5,6,6,5,5,5,5,6,1,NA,14,"37643",4,3,1,5,NA,NA,NA,NA,NA,1,NA," ","cherokee","Cherokee",NA,NA,1,1,2,1,1,1,4,2,1,NA,4,2," ",1,36.54910278,-82.55840302,-1,0,1
"829","R_3KrLxaeDnpRqCLp","Default Response Set","Anonymous",NA,NA,"72.191.81.21",0,"10/15/2019 19:00","10/15/2019 19:05",1,"Qual2790-0826NativeAmerican2","5da66b90-87f7-a4c1-582e-fec47e93539b",NA,322,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,2,4,3,5,5,4,5,2,7,2,5,4,4,6,5,2,4,5,3,6,4,5,1,1,4,7,4,6,5,5,5,1,7,4,1,4,4,3,3,2,4,7,7,5,3,2,4,3,5,4,2,2,2,6,1,3,3,5,4,7,5,2,2,6,4,5,7,2,3,7,6,3,4,6,4,3,5,6,7,2,3,5,6,2,4,5,2,3,6,5,4,6,2,4,3,7,4,2,5,1,1,4,6,5,7,4,3,4,5,4,2,4,2,7,2,2,3,4,2,NA,14,"78410",2,3,4,4,NA,NA,1,1,NA,1,NA," ","Chikapee","Chikapee",NA,NA,1,1,4,1,1,1,3,2,1,NA,3,2,"No",1,27.84469604,-97.59549713,-1,0,1
"1174","R_3kC9BfLxvkEXO9Y","Default Response Set","Anonymous",NA,NA,"68.60.133.51",0,"10/17/2019 11:00","10/17/2019 11:17",1,"Qual2790-0826NativeAmerican2"," ",NA,981,TRUE,"a2ba1ca9-fd52-4f5a-975f-b58fbd5be71e"," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,7,7,1,7,7,2,1,1,1,1,7,1,1,1,7,1,7,7,7,1,4,3,4,6,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,5,7,7,7,7,7,6,7,1,7,7,7,7,7,7,7,6,1,7,7,7,7,7,7,7,3,7,7,7,2,7,1,7,1,7,1,7,3,7,3,7,4,3,5,7,7,7,1,1,3,7,3,7,2,7,4,1,4,1,4,4,4,3,6,5,7,4,3,7,3,5,7,3,5,5,5,3,6,2,NA,3,"48035",2,3,1,7,NA,NA,1,1,NA,1,NA," ","Navajo","Navajo",NA,NA,1,0,2,1,1,2,3,2,1,NA,3,3,"There should be a question on how people view a native Americans appearance. Non-natives still think we all wear head dresses and have red skin when that isnt the case.",1,42.59779358,-82.88230133,-1,0,1
"389","R_3NPSuItwJyiYaTm","Default Response Set","Anonymous",NA,NA,"172.58.29.46",0,"10/25/2019 9:02","10/25/2019 9:14",1,"Qual2790-0826NativeAmerican2","5db30e7b-9468-d329-9351-1dbbe9c196a9",NA,750,TRUE," "," "," "," "," ",NA,2,1," ","{Invalid Expression}",4,7,7,1,6,6,1,1,6,1,1,7,6,7,7,7,7,7,6,2,1,2,2,6,6,6,7,6,6,6,7,7,6,1,7,7,6,7,7,7,7,7,5,7,7,7,7,7,7,1,7,7,7,6,4,6,5,4,1,7,7,6,4,7,7,7,3,7,7,6,1,7,1,6,1,7,7,7,2,7,3,3,7,1,6,7,7,7,1,1,1,6,1,1,2,1,7,3,6,1,3,1,1,7,5,4,4,5,5,7,1,6,4,1,5,4,5,1,1,2,NA,14,"91911",2,4,7,4,NA,NA,NA,1,NA,1,NA," ","None at the moment",NA,NA,NA,0,0,3,1,1,2,1,2,0,0,2,3," ",1,34.2183075,-118.3717957,-1,0,1
"261","R_DHKwGoMGVbgVft7","Default Response Set","Anonymous",NA,NA,"107.77.196.83",0,"10/28/2019 10:08","10/28/2019 10:17",1,"Qual2790-0826NativeAmerican2","5db71237-f247-79a6-fc4b-1dfc3a2129fe",NA,525,FALSE," "," "," "," "," ",NA,2,1," ","{Invalid Expression}",4,3,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,5,6,1,5,1,5,6,5,6,5,5,6,6,5,5,5,5,5,4,5,6,5,6,5,6,5,1,6,5,6,5,7,6,5,5,6,3,3,6,5,5,5,5,5,7,6,5,6,6,6,7,1,7,1,7,1,7,1,7,7,1,6,1,6,1,5,6,5,5,2,1,5,1,5,3,1,6,4,1,6,1,5,2,1,1,4,6,4,4,4,1,4,5,1,1,1,3,4,3,1,1,NA,15,"73055",1,3,3,7,NA,NA,NA,NA,NA,1,NA," ","Comanche","Comanche",NA,NA,1,0,4,1,1,1,3,2,1,NA,3,2," ",1,32.78160095,-97.08280182,-1,0,1
"20","R_d1mAfrZIrsQK7xT","Default Response Set","Anonymous",NA,NA,"73.70.89.209",0,"10/14/2019 19:37","10/14/2019 19:44",1,"Qual2790-0826NativeAmerican2","5da522b4-a8fe-f42f-a065-0d17624af6df",NA,469,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,1,2,6,1,7,7,2,2,7,1,4,6,1,4,1,4,4,4,4,4,4,4,4,5,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,6,6,2,7,7,6,7,1,7,1,6,1,7,7,1,6,1,7,1,5,5,7,6,1,1,6,6,7,1,1,5,7,2,7,1,1,6,3,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,5,2,NA,18,"93908",3,3,7,3,NA,NA,1,NA,NA,1,NA," ","All",NA,NA,NA,1,0,5,1,1,1,1,1,1,NA,3,2," ",1,36.71260071,-121.6436996,-1,0,1
"83","R_2YmhbRxmtSpYaof","Default Response Set","Anonymous",NA,NA,"66.213.24.105",0,"9/20/2019 7:47","9/20/2019 7:53",1,"Qual2790-0826NativeAmerican2","5d84d82f-c7c1-d0ed-4f16-f3b3455ee451",NA,352,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,5,7,7,7,7,4,4,6,6,7,5,7,6,7,7,7,6,7,4,5,4,4,4,7,6,6,7,6,6,6,6,6,6,7,7,7,6,6,6,5,5,6,6,6,6,6,6,5,6,6,6,6,7,7,7,7,7,7,7,7,6,7,6,5,6,7,6,6,5,6,5,5,5,2,6,6,5,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,5,6,4,6,6,6,6,6,4,5,5,4,4,5,5,4,5,4,NA,5,5,5,4,5,NA,1,NA,50,"45242",5,3,1,4,NA,NA,1,1,NA,NA,NA," ","cherokee","Cherokee",NA,NA,0,0,4,1,1,2,3,2,0,0,2,3," ",1,39.75630188,-84.1894989,-1,0,1
"757","R_30hKccJCnp9sNg1","Default Response Set","Anonymous",NA,NA,"199.64.7.231",0,"9/23/2019 15:29","9/23/2019 15:42",1,"Qual2790-0826NativeAmerican2","5d89390c-e930-bc5f-1278-33da254e35ff",NA,803,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,7,6,1,6,7,1,1,6,1,1,7,7,3,7,7,7,7,7,2,2,2,3,3,3,2,2,6,6,6,6,6,5,1,7,6,7,7,7,7,4,1,5,1,6,1,4,1,5,1,5,5,6,6,2,5,6,6,6,6,6,6,6,3,5,2,3,4,4,4,4,3,3,3,2,6,6,6,3,7,2,6,3,6,2,4,2,2,1,3,2,2,6,4,6,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,50,"19034",5,3,1,5,NA,NA,1,NA,NA,1,NA," ","none of your business",NA,NA,NA,0,0,1,0,0,1,2,3,0,0,2,3,"no",1,33.39079285,-111.9184036,-1,0,1
"47","R_3FIjCt4CSiIGdhZ","Default Response Set","Anonymous",NA,NA,"107.77.224.51",0,"9/25/2019 21:05","9/25/2019 21:34",1,"Qual2790-0826NativeAmerican2","5d8c2ad2-f6e4-aa81-3c99-1012cd357e3f",NA,1743,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,3,6,6,6,2,4,4,3,4,4,3,3,5,5,5,5,5,5,5,3,5,5,3,5,6,3,5,6,5,5,4,4,3,5,6,6,5,3,6,5,4,4,5,6,4,4,5,5,4,6,5,5,6,4,5,5,5,5,5,6,4,4,6,6,5,5,5,4,5,6,6,3,6,1,7,1,7,4,2,4,2,7,1,6,5,6,6,2,2,2,1,2,1,1,2,2,2,6,1,4,2,2,6,6,4,5,5,3,4,2,7,6,2,4,6,6,4,4,2,NA,39,"14028",4,3,5,2,NA,NA,NA,NA,NA,1,NA," ","Bear clan",NA,NA,NA,1,1,7,1,1,1,1,1,1,NA,1,1," ",1,40.72520447,-73.94400024,-1,0,1
"327","R_2v0ugeFw0wIfcrg","Default Response Set","Anonymous",NA,NA,"107.77.218.23",0,"10/28/2019 11:02","10/28/2019 11:07",1,"Qual2790-0826NativeAmerican2","5db71ef0-eaf8-69ec-dec6-bdb133618d9a",NA,309,TRUE," "," "," "," "," ",NA,2,1," ","{Invalid Expression}",4,5,2,5,3,4,3,6,4,5,3,3,6,6,4,2,2,3,4,4,4,2,6,3,5,2,4,6,4,2,4,5,3,4,3,7,6,2,5,6,6,5,4,6,7,6,7,7,4,4,6,6,3,4,4,5,2,6,3,5,2,6,4,2,6,3,4,4,6,2,6,4,3,5,5,2,4,6,6,4,4,1,2,4,4,4,2,6,5,3,4,3,5,2,6,6,7,6,6,7,6,2,7,7,6,6,6,6,6,7,7,6,7,6,7,5,7,6,7,2,NA,14,"33145",6,2,1,4,NA,NA,NA,NA,NA,1,NA," ","Mashpee wampanoag","Wampanoag ",NA,NA,1,1,4,1,1,1,1,1,1,NA,2,2," ",1,29.74220276,-95.49030304,-1,0,1
"1029","R_1Ic8PFInQPhs5hZ","Default Response Set","Anonymous",NA,NA,"99.203.86.250",0,"10/28/2019 11:26","10/28/2019 11:40",1,"Qual2790-0826NativeAmerican2","5db72486-d3ba-6057-cf3f-22a34fb91c8f",NA,811,FALSE," "," "," "," "," ",NA,2,1," ","{Invalid Expression}",4,1,1,7,1,3,7,7,4,6,5,3,1,7,1,2,6,4,5,6,5,7,6,7,5,6,6,5,7,5,6,6,6,1,3,4,4,6,5,5,6,5,7,6,7,6,4,7,7,1,7,6,6,6,4,5,5,5,5,4,4,5,5,7,7,7,7,6,7,7,1,7,1,7,1,7,1,5,7,3,7,3,6,1,7,7,7,7,4,1,7,2,1,4,2,5,7,3,4,1,7,7,6,7,5,5,7,6,7,5,6,5,5,4,7,4,7,5,5,1,NA,24,"76082",4,3,1,7,NA,NA,NA,NA,NA,1,NA," ","Mississippi choctaw","Chocktaw",NA,NA,1,1,6,1,1,1,1,2,1,NA,2,2,"None",1,32.76849365,-96.68090057,-1,0,1
"526","R_28FzfKtmfK6eezW","Default Response Set","Anonymous",NA,NA,"41.215.163.12",0,"9/25/2019 17:20","9/25/2019 17:29",1,"Qual2790-0826NativeAmerican2","5d8bf605-c248-5be3-ad8f-318f4b639438",NA,556,NA," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,6,7,7,7,7,6,6,7,6,7,6,7,6,7,6,7,7,6,7,6,7,7,7,7,7,7,6,2,2,2,7,1,7,7,2,2,1,7,7,7,7,6,7,7,6,6,7,7,7,6,7,6,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,6,7,6,7,7,7,6,7,7,6,7,7,7,7,6,7,7,6,7,7,7,6,7,7,7,7,5,7,7,6,7,6,7,1,NA,12,"18001",6,1,1,4,NA,1,NA,NA,NA,NA,NA," ","Sioux","Sioux",NA,NA,1,1,4,1,1,1,2,2,1,NA,2,2,"Extremely not really",1,5.550201416,-0.217407227,-1,0,1
"178","R_1nMZW0AgDrrCoaE","Default Response Set","Anonymous",NA,NA,"172.56.11.232",0,"10/14/2019 19:33","10/14/2019 19:39",1,"Qual2790-0826NativeAmerican2","5da521b6-3422-2ad3-4799-7336223f917d",NA,367,TRUE," "," "," "," "," ",NA,NA,1," ","{Invalid Expression}",4,1,1,1,1,1,7,2,1,5,1,1,2,5,3,6,2,4,3,1,7,5,6,3,7,7,4,4,5,3,2,5,1,1,2,2,1,1,2,7,2,5,1,4,3,4,2,2,3,4,3,7,2,1,2,2,1,1,2,2,2,6,1,4,3,7,1,7,5,2,4,2,5,1,6,5,7,3,2,6,5,4,2,2,3,2,4,3,1,1,2,2,1,1,1,1,2,4,3,1,3,1,6,6,2,1,3,4,5,2,7,6,1,4,2,3,3,6,5,6,NA,18,"44135",3,3,1,5,NA,NA,NA,NA,NA,1,NA," ","Cherokee","Cherokee",NA,NA,1,1,5,1,1,1,1,2,1,NA,1,2," ",1,42.24220276,-83.18070221,-1,0,1
